"stop_id","stop_lat","stop_long","stop_name","stop_suburb","stop_type"
"T-14   ","-37.8769300200","145.0693930000","East Malvern Railway Station                                          ","Malvern East                                      ","T   "
"T-140  ","-37.7335228500","144.9628406000","Batman Railway Station                                                ","Coburg North                                      ","T   "
"T-141  ","-37.7423450200","144.9633363000","Coburg Railway Station                                                ","Coburg                                            ","T   "
"T-142  ","-37.7544848400","144.9618230000","Moreland Railway Station                                              ","Coburg                                            ","T   "
"T-143  ","-37.7612420300","144.9606840000","Anstey Railway Station                                                ","Brunswick                                         ","T   "
"T-144  ","-37.7677205500","144.9595865000","Brunswick Railway Station                                             ","Brunswick                                         ","T   "
"T-145  ","-37.7749870200","144.9587169000","Jewell Railway Station                                                ","Brunswick                                         ","T   "
"T-146  ","-37.7811929300","144.9523013000","Royal Park Railway Station                                            ","Parkville                                         ","T   "
"T-147  ","-37.7881399500","144.9393233000","Flemington Bridge Railway Station                                     ","North Melbourne                                   ","T   "
"T-148  ","-37.7942667300","144.9361663000","Macaulay Railway Station                                              ","North Melbourne                                   ","T   "
"T-149  ","-37.8074187700","144.9425698000","North Melbourne Railway Station                                       ","West Melbourne                                    ","T   "
"T-15   ","-37.8744022200","145.0906620000","Holmesglen Railway Station                                            ","Malvern East                                      ","T   "
"T-150  ","-37.7886574500","144.9954167000","Clifton Hill Railway Station                                          ","Clifton Hill                                      ","T   "
"T-151  ","-37.7991578200","144.9944514000","Victoria Park Railway Station                                         ","Abbotsford                                        ","T   "
"T-152  ","-37.8045259300","144.9937497000","Collingwood Railway Station                                           ","Abbotsford                                        ","T   "
"T-153  ","-37.8103983600","144.9925003000","North Richmond Railway Station                                        ","Richmond                                          ","T   "
"T-154  ","-37.8149489600","144.9914228000","West Richmond Railway Station                                         ","Richmond                                          ","T   "
"T-155  ","-37.8165270200","144.9840983000","Jolimont-MCG Railway Station                                          ","East Melbourne                                    ","T   "
"T-156  ","-37.7260123000","145.0691433000","Macleod Railway Station                                               ","Macleod                                           ","T   "
"T-157  ","-37.7109579800","145.0837934000","Watsonia Railway Station                                              ","Watsonia                                          ","T   "
