"stop_suburb","stop_type","count"
"Fitzroy North                                     ","TR  ",24
"Flemington                                        ","B   ",14
"Flemington                                        ","T   ",2
"Flemington                                        ","TR  ",19
"Flinders                                          ","B   ",5
"Flora Hill                                        ","B   ",22
"Footscray                                         ","B   ",99
"Footscray                                         ","T   ",2
"Footscray                                         ","TR  ",15
"Forest Hill                                       ","B   ",49
"Frankston                                         ","B   ",203
"Frankston                                         ","T   ",2
"Frankston North                                   ","B   ",39
"Frankston South                                   ","B   ",75
"Gardenvale                                        ","B   ",10
"Gembrook                                          ","B   ",16
"Gladstone Park                                    ","B   ",32
"Glen Huntly                                       ","B   ",2
"Glen Huntly                                       ","T   ",1
"Glen Huntly                                       ","TR  ",3
"Glen Iris                                         ","B   ",47
"Glen Iris                                         ","T   ",3
"Glen Iris                                         ","TR  ",19
"Glenroy                                           ","B   ",76
"Glenroy                                           ","T   ",3
"Glen Waverley                                     ","B   ",180
"Glen Waverley                                     ","T   ",2
"Golden Square                                     ","B   ",51
"Gowanbrae                                         ","B   ",16
"Greensborough                                     ","B   ",96
"Greensborough                                     ","T   ",1
"Greenvale                                         ","B   ",66
"Hadfield                                          ","B   ",46
"Hallam                                            ","B   ",57
"Hallam                                            ","T   ",1
"Hamlyn Heights                                    ","B   ",1
"Hampton                                           ","B   ",68
"Hampton                                           ","T   ",1
"Hampton East                                      ","B   ",15
"Hampton Park                                      ","B   ",104
"Hastings                                          ","B   ",28
"Hastings                                          ","T   ",1
"Hawthorn                                          ","B   ",8
"Hawthorn                                          ","T   ",2
"Hawthorn                                          ","TR  ",56
"Hawthorn East                                     ","B   ",21
"Hawthorn East                                     ","T   ",1
"Hawthorn East                                     ","TR  ",24
"Healesville                                       ","B   ",38
"Heatherton                                        ","B   ",36
"Heathmont                                         ","B   ",18
"Heathmont                                         ","T   ",1
"Heidelberg                                        ","B   ",25
"Heidelberg                                        ","T   ",1
"Heidelberg Heights                                ","B   ",51
"Heidelberg West                                   ","B   ",48
"Highett                                           ","B   ",53
"Highett                                           ","T   ",1
"Hillside                                          ","B   ",110
"Hoppers Crossing                                  ","B   ",186
"Hoppers Crossing                                  ","T   ",1
"Hughesdale                                        ","B   ",36
"Hughesdale                                        ","T   ",1
"Humevale                                          ","B   ",10
"Huntingdale                                       ","B   ",9
"Huntly                                            ","B   ",27
"Hurstbridge                                       ","B   ",3
"Hurstbridge                                       ","T   ",1
"Ironbark                                          ","B   ",16
"Ivanhoe                                           ","B   ",118
"Ivanhoe                                           ","T   ",4
"Ivanhoe East                                      ","B   ",14
"Jacana                                            ","B   ",15
"Jackass Flat                                      ","B   ",8
"Junction Village                                  ","B   ",8
"Kalkallo                                          ","B   ",4
"Kallista                                          ","B   ",4
"Kalorama                                          ","B   ",12
"Kangaroo Flat                                     ","B   ",61
"Kangaroo Ground                                   ","B   ",12
"Kealba                                            ","B   ",13
"Keilor                                            ","B   ",31
"Keilor Downs                                      ","B   ",49
"Keilor East                                       ","B   ",61
"Keilor Lodge                                      ","B   ",2
"Keilor North                                      ","B   ",3
"Keilor Park                                       ","B   ",14
"Kennington                                        ","B   ",23
"Kensington                                        ","B   ",16
"Kensington                                        ","T   ",2
"Kensington                                        ","TR  ",2
"Kew                                               ","B   ",71
"Kew                                               ","TR  ",42
"Kew East                                          ","B   ",38
"Kew East                                          ","TR  ",10
"Keysborough                                       ","B   ",124
"Kilsyth                                           ","B   ",63
"Kilsyth South                                     ","B   ",18
"Kinglake                                          ","B   ",7
"Kinglake Central                                  ","B   ",5
"Kinglake West                                     ","B   ",10
"Kingsbury                                         ","B   ",17
"Kingsbury                                         ","TR  ",4
"Kings Park                                        ","B   ",24
"Kingsville                                        ","B   ",9
"Knoxfield                                         ","B   ",55
"Kooyong                                           ","T   ",1
"Kooyong                                           ","TR  ",5
"Kurunjang                                         ","B   ",31
"Lalor                                             ","B   ",74
"Lalor                                             ","T   ",1
"Langwarrin                                        ","B   ",84
"Langwarrin South                                  ","B   ",18
"Launching Place                                   ","B   ",12
"Laverton                                          ","B   ",22
"Laverton                                          ","T   ",2
"Laverton North                                    ","B   ",44
"Lilydale                                          ","B   ",87
"Lilydale                                          ","T   ",1
"Long Gully                                        ","B   ",15
"Lower Plenty                                      ","B   ",8
"Lynbrook                                          ","B   ",14
"Lynbrook                                          ","T   ",1
"Lyndhurst                                         ","B   ",19
"Lysterfield                                       ","B   ",27
"Macleod                                           ","B   ",31
"Macleod                                           ","T   ",1
"Maiden Gully                                      ","B   ",28
"Maidstone                                         ","B   ",36
"Maidstone                                         ","TR  ",2
"Malvern                                           ","B   ",3
"Malvern                                           ","T   ",2
"Malvern                                           ","TR  ",52
"Malvern East                                      ","B   ",83
"Malvern East                                      ","T   ",3
"Malvern East                                      ","TR  ",17
"Maribyrnong                                       ","B   ",55
"Maribyrnong                                       ","TR  ",29
"Marysville                                        ","B   ",2
"Mccrae                                            ","B   ",10
"Mckinnon                                          ","B   ",21
"Mckinnon                                          ","T   ",1
"Meadow Heights                                    ","B   ",61
"Melbourne                                         ","B   ",1377
"Melbourne                                         ","T   ",135
"Melbourne                                         ","TR  ",3375
"Melton                                            ","B   ",74
"Melton South                                      ","B   ",47
"Melton West                                       ","B   ",73
"Mentone                                           ","B   ",58
"Mentone                                           ","T   ",1
"Menzies Creek                                     ","B   ",6
"Mernda                                            ","B   ",83
"Mernda                                            ","T   ",1
"Merricks                                          ","B   ",3
"Mickleham                                         ","B   ",47
"Middle Park                                       ","B   ",10
"Middle Park                                       ","TR  ",21
"Millgrove                                         ","B   ",5
"Mill Park                                         ","B   ",135
"Mitcham                                           ","B   ",90
"Mitcham                                           ","T   ",1
"Monbulk                                           ","B   ",18
"Mont Albert                                       ","B   ",17
"Mont Albert                                       ","T   ",1
"Mont Albert                                       ","TR  ",5
"Mont Albert North                                 ","B   ",33
"Montmorency                                       ","B   ",31
"Montmorency                                       ","T   ",1
"Montrose                                          ","B   ",48
"Moonee Ponds                                      ","B   ",65
"Moonee Ponds                                      ","T   ",1
"Moonee Ponds                                      ","TR  ",24
